Phi[deg],Theta[deg],im(rEY)[mV]
-60,14,561.294
-58,14,549.965
-56,14,537.961
-54,14,525.296
-52,14,511.982
-50,14,498.031
-48,14,483.459
-46,14,468.282
-44,14,452.514
-42,14,436.175
-40,14,419.281
-38,14,401.853
-36,14,383.911
-34,14,365.475
-32,14,346.568
-30,14,327.212
-28,14,307.432
-26,14,287.251
-24,14,266.695
-22,14,245.791
-20,14,224.564
-18,14,203.041
-16,14,181.252
-14,14,159.224
-12,14,136.985
-10,14,114.566
-8,14,91.9959
-6,14,69.3043
-4,14,46.5216
-2,14,23.6782
0,14,0.804419
2,14,-22.0692
4,14,-44.9121
6,14,-67.6938
8,14,-90.3841
10,14,-112.953
12,14,-135.37
14,14,-157.606
16,14,-179.632
18,14,-201.418
20,14,-222.937
22,14,-244.16
24,14,-265.061
26,14,-285.613
28,14,-305.789
30,14,-325.565
32,14,-344.916
34,14,-363.818
36,14,-382.249
38,14,-400.187
40,14,-417.609
42,14,-434.497
44,14,-450.832
46,14,-466.594
48,14,-481.766
50,14,-496.332
52,14,-510.277
54,14,-523.587
56,14,-536.247
58,14,-548.245
60,14,-559.57
62,14,-570.21
64,14,-580.157
66,14,-589.4
68,14,-597.932
70,14,-605.745
72,14,-612.833
74,14,-619.19
76,14,-624.81
78,14,-629.69
80,14,-633.824
82,14,-637.211
84,14,-639.848
86,14,-641.731
88,14,-642.861
90,14,-643.237
92,14,-642.857
94,14,-641.722
96,14,-639.834
98,14,-637.193
100,14,-633.802
102,14,-629.663
104,14,-624.779
106,14,-619.155
108,14,-612.794
110,14,-605.703
112,14,-597.886
114,14,-589.351
116,14,-580.105
118,14,-570.155
120,14,-559.512
122,14,-548.185
124,14,-536.185
126,14,-523.524
128,14,-510.213
130,14,-496.267
132,14,-481.699
134,14,-466.527
136,14,-450.765
138,14,-434.431
140,14,-417.543
142,14,-400.121
144,14,-382.185
146,14,-363.755
148,14,-344.855
150,14,-325.506
152,14,-305.732
154,14,-285.558
156,14,-265.01
158,14,-244.112
160,14,-222.891
162,14,-201.376
164,14,-179.593
166,14,-157.571
168,14,-135.339
170,14,-112.926
172,14,-90.3615
174,14,-67.6755
176,14,-44.8981
178,14,-22.0596
180,14,0.809573
-180,16,0.817597
-178,16,26.4388
-176,16,52.0253
-174,16,77.542
-172,16,102.954
-170,16,128.227
-168,16,153.327
-166,16,178.22
-164,16,202.872
-162,16,227.25
-160,16,251.322
-158,16,275.056
-156,16,298.422
-154,16,321.388
-152,16,343.926
-150,16,366.006
-148,16,387.603
-146,16,408.687
-144,16,429.236
-142,16,449.222
-140,16,468.625
-138,16,487.42
-136,16,505.588
-134,16,523.108
-132,16,539.962
-130,16,556.132
-128,16,571.601
-126,16,586.356
-124,16,600.381
-122,16,613.665
-120,16,626.194
-118,16,637.959
-116,16,648.95
-114,16,659.158
-112,16,668.575
-110,16,677.194
-108,16,685.01
-106,16,692.016
-104,16,698.208
